Variable,Type,Description
County_Name_state_abbr,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
County_Name_Alt,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
YEAR,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
COUNTYICP,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
PUMA,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
SERIAL,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
CBSERIAL,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
CLUSTER,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
FAMSIZE,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
ACTUAL_HH_INCOME,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
HHTYPE,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
REALHHWT,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
HHWT,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
MULTYEAR,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
SAMPLE,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
STRATA,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
GQ,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
GQTYPE,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
GQTYPED,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
